post_status,post_id,post_time,user_id,user_rep,user_age,tag_num,is_tag_pop,is_tag_com,tag_cat,title_len,title_words,is_title_qst,n_tags_in_title,body_len,code_seg,code_lines,n_tags_in_text,sent_num,sent_qst_rt
5,10035653,1556,1159226,1,77,1,1,1,1,59,11,1,0,1276,1,20,0,12,0.25
2,8922537,1479,1157921,1,0,4,1,1,1,68,12,0,2,352,0,0,0,3,0.0
1,5962216,1226,696219,40,34,1,0,0,0,35,5,0,0,500,0,0,0,2,0.5
1,10070625,1560,490895,1,528,3,1,1,0,24,4,0,0,371,0,0,0,5,0.2
1,8960935,1482,1017103,28,86,2,1,1,0,84,17,1,1,169,1,0,0,3,0.333
4,11760939,1674,504617,50,628,3,0,1,0,56,9,0,3,452,0,0,0,5,0.2
1,12667304,1735,1693381,10,7,2,1,1,1,46,8,0,1,465,0,0,0,6,0.167
4,8524835,1444,1100507,1,0,3,0,1,0,39,8,0,2,226,0,0,0,5,0.2
1,10454249,1585,528211,2422,519,2,1,1,1,45,7,1,0,397,0,0,0,5,0.2
1,11853208,1680,1553248,38,12,4,1,1,1,35,5,0,1,988,1,1,0,7,0.143
1,11933076,1686,1545519,23,21,4,1,1,2,28,5,0,1,404,2,5,0,4,0.0
3,4709933,1112,504845,191,66,3,1,1,1,33,6,1,1,1043,0,0,0,9,0.444
1,5029559,1143,633799,1,0,4,1,1,2,63,9,0,0,909,1,6,0,4,0.0
4,8737926,1465,1131392,1,0,4,1,1,3,26,4,0,2,1134,0,0,0,2,0.0
3,10394417,1582,1066909,20,156,3,1,1,1,39,4,0,1,674,0,0,0,11,0.273
1,11569888,1661,903027,21,335,4,1,1,2,60,9,0,3,1293,2,17,0,8,0.25
5,7603756,1367,972023,1,0,2,1,1,0,28,6,0,1,346,0,0,0,1,1.0
4,11233728,1639,977466,140,267,3,1,1,3,57,9,0,1,772,0,0,0,10,0.1
4,35488,242,572,2192,23,2,1,1,0,68,11,1,1,198,0,0,0,4,0.5
4,4784166,1119,554038,25,29,3,0,1,0,45,7,0,0,662,0,0,0,6,0.167
1,2400828,797,238052,149,74,4,1,1,3,28,4,0,1,203,0,0,0,4,1.0
1,6014534,1231,624429,110,85,3,1,1,1,35,7,1,0,214,2,0,0,3,0.667
2,7562498,1364,277329,11,584,4,1,1,1,61,9,0,1,1345,0,0,0,18,0.056
2,8169136,1416,840576,1,128,1,1,1,3,27,4,0,0,428,0,0,0,3,0.0
5,9607769,1527,518298,151,469,2,1,1,3,21,3,0,0,316,1,3,0,3,0.333
1,12479346,1722,397244,440,790,3,1,1,1,58,9,1,2,802,1,9,0,4,0.25
4,9842060,1543,1288568,1,0,4,1,1,0,44,8,0,2,638,0,0,0,4,0.25
2,8411801,1436,1072704,4,7,1,1,1,0,55,9,0,0,735,2,18,0,1,0.0
2,11624609,1666,1530622,25,7,2,1,1,1,66,7,1,1,122,0,0,0,3,0.0
1,3575460,968,119853,521,442,3,1,1,1,40,6,0,1,731,1,6,0,6,0.167
1,684846,450,47424,173,97,3,1,1,0,36,5,0,2,193,0,0,0,3,0.0
4,8703148,1462,201926,137,789,4,0,1,0,58,9,0,1,952,0,0,0,7,0.143
1,2586457,826,44683,1472,482,2,1,1,1,37,8,0,2,613,0,0,0,10,0.2
1,7025968,1318,825344,59,40,5,1,1,3,54,8,0,3,812,4,4,0,7,0.143
1,1540718,646,118091,56,125,3,1,1,0,66,9,0,0,561,3,0,0,6,0.167
2,12040045,1693,1609570,1,1,3,1,1,1,24,3,1,0,456,0,0,0,5,0.0
4,12298074,1710,1256837,6,181,3,0,1,1,59,10,0,0,916,1,11,0,7,0.143
5,2316274,784,279217,1,0,4,1,1,1,90,25,1,3,640,0,0,0,6,0.167
4,12575890,1729,1612614,8,35,4,1,1,0,80,13,0,0,901,0,0,0,9,0.111
4,8665155,1458,329494,310,608,4,1,1,3,59,7,0,1,1250,0,0,0,16,0.313
1,8488925,1442,565678,23,340,2,1,1,2,33,7,1,0,236,0,0,0,2,0.5
1,9460197,1518,1164384,42,34,4,1,1,1,23,4,1,0,217,0,0,0,3,0.667
1,8457134,1439,1091269,1,0,2,0,1,2,83,14,0,0,1176,4,4,0,9,0.111
2,6689723,1290,624094,56,446,3,1,1,1,27,6,1,0,90,0,0,0,2,1.0
2,11006210,1624,790581,604,371,2,1,1,0,46,7,0,1,24411,3,488,0,8,0.0
1,12524205,1725,593413,130,601,3,0,1,2,59,9,0,0,2368,1,3,0,19,0.0
4,4921291,1133,425727,136,171,2,0,1,1,30,4,0,1,371,0,0,0,2,0.0
2,3023381,892,313276,9,62,1,0,1,1,38,7,0,0,93,0,0,0,1,0.0
1,2307946,782,278351,1,0,2,1,1,1,29,5,1,1,194,0,0,0,2,0.5
2,8178778,1417,921396,17,78,3,1,1,2,58,9,0,1,375,0,0,0,2,0.0
5,9570537,1525,1250328,1,0,1,1,1,0,73,21,0,0,493,0,0,0,1,0.0
4,7884914,1393,1012105,1,0,2,0,1,0,30,3,0,1,588,0,0,0,4,0.0
1,8343742,1430,351756,1,553,5,1,1,1,82,16,0,0,962,0,0,0,6,0.167
1,1821858,699,130575,82,154,4,1,1,1,58,10,0,1,584,1,5,0,4,0.75
1,5591289,1193,661684,1,23,4,1,1,2,36,7,1,2,689,0,0,0,8,0.5
1,10307220,1575,1350042,3,2,2,1,1,0,33,6,0,1,1676,6,16,0,9,0.111
1,5938757,1224,742084,3,2,1,1,1,0,46,6,0,0,669,0,0,0,4,0.5
1,5011537,1142,485274,15,115,3,1,1,1,19,4,0,1,841,2,16,0,7,0.286
2,12709702,1737,1666139,6,20,1,1,1,1,32,6,0,0,564,0,0,0,2,0.0
1,2260678,775,51197,2521,406,3,1,1,1,45,6,0,3,346,0,0,0,4,0.25
2,12714973,1737,130015,8160,1207,3,1,1,1,41,6,1,1,259,0,0,0,2,0.0
3,6422705,1267,718016,2,61,2,1,1,0,40,7,0,1,1045,0,0,0,4,0.25
3,8721050,1464,465179,3410,457,5,0,1,3,43,5,0,3,1638,0,0,0,8,0.0
1,4779964,1119,507759,24,70,4,0,1,1,59,10,1,3,360,0,0,0,2,0.5
5,9218380,1500,431060,32,533,5,1,1,1,54,10,0,1,2520,0,0,0,17,0.059
1,12391307,1716,250560,1677,972,2,0,1,1,26,5,0,2,508,0,0,0,8,0.125
1,3484042,956,409631,448,222,3,1,1,1,74,9,0,0,206,0,0,0,3,0.0
2,3624407,975,438860,1,2,2,1,1,1,20,2,0,1,69,0,0,0,1,1.0
5,8511182,1443,507708,38,394,5,1,1,1,52,9,1,0,408,2,0,0,4,0.25
1,1819740,699,220241,1,2,2,1,1,2,68,13,0,0,179,0,0,0,2,0.5
5,12639053,1732,1344261,59,161,3,1,1,1,28,4,0,1,1753,2,0,0,10,0.0
4,5861658,1217,365752,204,323,3,1,1,1,34,5,0,1,119,0,0,0,1,1.0
1,10914097,1618,1066899,146,192,4,1,1,1,27,6,1,0,181,0,0,0,2,0.5
1,10507041,1589,1215098,1,81,3,1,1,1,46,10,1,2,1041,1,17,0,5,0.0
1,10420161,1583,297061,528,775,3,1,1,1,76,14,0,1,1993,4,16,0,11,0.091
5,6185567,1246,569183,706,141,5,1,1,1,25,6,0,2,1193,0,0,0,4,0.25
4,3535596,962,348081,41,165,3,0,1,3,30,4,0,2,61,0,0,0,1,0.0
2,11934609,1686,1559441,13,16,2,1,1,1,50,10,0,0,170,1,0,0,2,0.0
2,7417211,1352,884002,1,37,3,1,1,1,24,4,0,2,84,0,0,0,2,0.5
1,10495233,1589,286791,898,886,4,1,1,1,82,13,1,1,1359,2,12,0,9,0.111
1,11521775,1659,913172,170,326,1,0,1,1,56,10,0,1,317,1,5,0,2,0.5
2,11143495,1633,1461754,3,4,2,1,1,1,62,13,1,2,176,0,0,0,5,0.2
2,12430210,1718,1672214,1,0,3,0,1,0,69,11,0,0,259,0,0,0,4,0.5
4,1417561,621,37758,181,302,2,1,1,0,25,3,1,1,210,0,0,0,5,0.4
2,8370637,1432,629685,350,283,2,1,1,1,31,5,0,1,156,0,0,0,4,0.0
5,11980600,1689,1470364,1,56,2,1,1,0,38,6,1,0,524,0,0,0,8,0.125
2,7116998,1326,702264,46,129,3,1,1,3,54,10,1,0,161,0,0,0,2,1.0
1,10195886,1568,951271,8,212,2,0,1,2,24,5,0,0,687,1,17,0,2,0.5
1,12368935,1715,1140144,41,245,3,1,1,1,37,7,0,2,321,0,0,0,3,0.333
1,9316621,1507,1060700,21,85,3,1,1,0,41,4,0,0,1086,1,17,0,5,0.2
1,11308867,1645,471313,902,632,1,1,1,1,31,6,0,1,610,4,2,0,7,0.0
1,2747608,850,320688,6,11,5,1,1,1,46,7,0,1,1209,6,16,0,8,0.0
1,1149928,565,102040,316,119,3,1,1,1,85,13,1,1,347,0,0,0,3,1.0
4,3340617,938,236896,83,276,1,1,1,0,35,8,1,1,55,0,0,0,2,0.5
1,12461802,1721,288703,1520,924,3,0,1,2,53,7,0,0,1553,0,0,0,10,0.3
1,7645454,1372,978091,1,0,2,0,0,0,48,8,0,0,317,0,0,0,4,0.0
2,1515374,642,144123,237,72,4,0,1,1,30,6,0,1,321,0,0,0,3,0.333
1,6027213,1232,491723,138,199,3,1,1,3,36,7,0,1,217,0,0,0,3,0.333
4,8676199,1459,1122261,1,0,3,0,1,0,19,3,0,0,353,0,0,0,2,0.0
